,,"Note: For CCD-compliant applications, Annex C, section C7 defines the specific coding of the Issuer Application Data (IAD). To avoid potential conflicts with CCD-compliant applications, it is strongly recommended that the IAD data element in an application that is not CCD-compliant should not use the coding for a CCD-compliant application."
9F10,Issuer Application Data (IAD),Contains proprietary application data for transmission to the Issuer in an online transaction.
9F10,Issuer Application Data (IAD),Contains proprietary application data for transmission to the Issuer in all transaction messages.
9F10,Issuer Application Data (IAD),Contains proprietary application data for transmission to the Issuer in an online transaction.
9F10,Issuer Application Data (IAD),
9F11,Issuer Code Table Index,Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name
9F11,Issuer Code Table Index,Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name
9F11,Issuer Code Table Index,Indicates the code table according to ISO/IEC 8859 for displaying the Application Preferred Name
9F11,Issuer Code Table Index,
9F12,Application Preferred Name,Preferred mnemonic associated with the AID
9F12,Application Preferred Name,Preferred mnemonic associated with the AID
9F12,Application Preferred Name,Preferred mnemonic associated with the AID
9F12,Application Preferred Name,
9F13,Last Online Application Transaction Counter (ATC) Register,ATC value of the last transaction that went online
9F14,Lower Consecutive Offline Limit (LCOL),Issuer-specified preference for the maximum number of consecutive offline transactions for this ICC application allowed in a terminal with online capability
9F15,Merchant Category Code (MCC),"Classifies the type of business being done by the merchant, represented according to ISO 8583:1993 for Card Acceptor Business Code"
9F15,Merchant Category Code (MCC),"Classifies the type of business being done by the merchant, represented according to ISO 8583:1993 for Card Acceptor Business Code"
9F15,Merchant Category Code (MCC),
9F16,Merchant Identifier,"When concatenated with the Acquirer Identifier, uniquely identifies a given merchant"
9F16,Merchant Identifier,
9F17,Personal Identification Number (PIN) Try Counter,Number of PIN tries remaining
9F18,Issuer Script Identifier,May be sent in authorisation response from issuer when response contains Issuer Script. Assigned by the issuer to uniquely identify the Issuer Script.
9F18,Issuer Script Identifier,Identification of the Issuer Script.
9F18,Issuer Script Identifier,
9F19,Deleted (see 9F49),
9F1A,Terminal Country Code,"Indicates the country of the terminal, represented according to ISO 3166"
9F1A,Terminal Country Code,"Indicates the country of the terminal, represented according to ISO 3166-1"
9F1A,Terminal Country Code,"Indicates the country of the terminal, represented according to ISO 3166"
9F1A,Terminal Country Code,"Indicates the country of the terminal, represented according to ISO 3166"
9F1A,Terminal Country Code,"Indicates the country of the terminal, represented according to ISO 3166. Requested in CDOL1."
9F1A,Terminal Country Code,
9F1B,Terminal Floor Limit,Indicates the floor limit in the terminal in conjunction with the AID
9F1B,Terminal Floor Limit,Indicates the floor limit in the terminal in conjunction with the AID
9F1B,Terminal Floor Limit,
9F1C,Terminal Identification,Designates the unique location of a Terminal at a merchant
9F1C,Terminal Identification,
9F1D,Terminal Risk Management Data,Application-specific value used by the card for risk management purposes
9F1E,Interface Device (IFD) Serial Number,Unique and permanent serial number assigned to the IFD by the manufacturer
9F1E,Interface Device (IFD) Serial Number,
9F1F,Track 1 Discretionary Data,Discretionary part of track 1 according to ISO/IEC 7813
9F1F,Track 1 Discretionary Data,Discretionary part of track 1 according to ISO/IEC 7813
9F1F,Track 1 Discretionary Data,Discretionary part of track 1 according to ISO/IEC 7813
9F1F,Track 1 Discretionary Data,Discretionary part of track 1 according to ISO/IEC 7813
9F1F,"Track 1, Discretionary Data",
9F20,Track 2 Discretionary Data,Discretionary part of track 2 according to ISO/IEC 7813
9F20,"Track 2, Discretionary Data",
9F21,Transaction Time,Local time at which the transaction was performed.
9F21,Transaction Time,Local time at which the transaction was authorised.
9F21,Transaction Time,
9F22,Certification Authority Public Key Index (PKI),Identifies the Certificate Authority's public key in conjunction with the RID for use in offline static and dynamic data authentication.
9F22,"Public Key Index, Certification Authority, Terminal",
9F23,Upper Consecutive Offline Limit (UCOL),Issuer-specified preference for the maximum number of consecutive offline transactions for this ICC application allowed in a terminal without online capability
9F24,Payment Account Reference (PAR) generated or linked directly to the provision request in the token vault,Payment Account Reference: EMV contact and contactless chip specifications products may support PAR by assigning a unique EMV tag (9F24) to represent PAR. PAR SHALL be required personalisation data for payment tokens but will be optional for terminals to read and transmit.
9F26,Application Cryptogram (AC),Cryptogram returned by the ICC in response of the GENERATE AC or RECOVER AC command
9F26,Application Cryptogram (AC),Cryptogram returned by the ICC in response of the GENERATE AC or RECOVER AC command
9F26,Application Cryptogram (AC),Cryptogram returned by the card in response to the GPO command.
9F26,Application Cryptogram (AC),AC computed by the card during a transaction.
9F26,Application Cryptogram (AC),Cryptogram returned by the card in response of the GENERATE AC command.
9F26,Application Cryptogram (AC),
9F27,Cryptogram Information Data (CID),Indicates the type of cryptogram and the actions to be performed by the terminal
9F27,Cryptogram Information Data (CID),Indicates the type of cryptogram and the actions to be performed by the Kernel. The Cryptogram Information Data is coded according to Table 14 of [EMV Book 3].
9F27,Cryptogram Information Data (CID),"Indicates the type of cryptogram (TC, ARQC, or AAC) returned by the card and the actions to be performed by the reader."
9F27,Cryptogram Information Data (CID),"Indicates the type of cryptogram (TC, ARQC, or AAC) returned by the card and the actions to be performed by the terminal."
9F27,Cryptogram Information Data (CID),Indicates the type of cryptogram and the actions to be performed by the terminal after the GENERATE AC command.
9F27,Cryptogram Information Data (CID),
9F29,Extended Selection,"The value to be appended to the ADF Name in the data field of the SELECT command, if the Extended Selection Support flag is present and set to 1. Content is payment system proprietary."
9F2A,Kernel Identifier,Indicates the card's preference for the kernel on which the contactless application can be processed.
9F2D,Integrated Circuit Card (ICC) PIN Encipherment Public Key Certificate,ICC PIN Encipherment Public Key certified by the issuer
9F2E,Integrated Circuit Card (ICC) PIN Encipherment Public Key Exponent,ICC PIN Encipherment Public Key Exponent used for PIN encipherment
9F2F,Integrated Circuit Card (ICC) PIN Encipherment Public Key Remainder,Remaining digits of the ICC PIN Encipherment Public Key Modulus
9F32,Issuer Public Key Exponent,Issuer public key exponent used for the verification of the Signed Static Application Data and the ICC Public Key Certificate
9F32,Issuer Public Key Exponent,Issuer public key exponent used for the verification of the Signed Static Application Data and the ICC Public Key Certificate
9F32,Issuer Public Key Exponent,Issuer-specified data to be used with the Issuer's public key algorithm for static data authentication.
9F32,Issuer Public Key Exponent,Issuer public key exponent used for the verification of the Signed Static Application Data and the ICC Public Key Certificate
9F32,Issuer Public Key Exponent,
9F33,Terminal Capabilities,"Indicates the card data input, CVM, and security capabilities of the Terminal and Reader. The CVM capability (Byte 2) is instantiated with values depending on the transaction amount. The Terminal Capabilities is coded according to Annex A.2 of [EMV Book 4]."
9F33,Terminal Capabilities,"Indicates the card data input, CVM, and security capabilities of the Terminal."
9F33,Terminal Capabilities,
9F34,Cardholder Verification Method (CVM) Results,Indicates the results of the last CVM performed
9F34,Cardholder Verification Method (CVM) Results,
9F35,Terminal Type,"Indicates the environment of the terminal, its communications capability, and its operational control"
9F35,Terminal Type,"Indicates the environment of the terminal, its communications capability, and its operational control"
9F35,Terminal Type,"Indicates the environment of the terminal, its communications capability, and its operational control"
9F35,Terminal Type,
9F36,Application Transaction Counter (ATC),Counter maintained by the application in the ICC (incrementing the ATC is managed by the ICC)
9F36,Application Transaction Counter (ATC),Counter maintained by the application in the ICC (incrementing the ATC is managed by the ICC)
9F36,Application Transaction Counter (ATC),Count of the number of transactions initiated since personalisation. Maintained by the application in the card.
9F36,Application Transaction Counter (ATC),Counter maintained by the application in the card. Initial value is zero. It is incremented by 1 each time a transaction is performed.
9F36,Application Transaction Counter (ATC),Counter maintained by the application in the card (incrementing the ATC is managed by the card).
9F36,Application Transaction Counter (ATC),
9F37,Unpredictable Number (UN),Value to provide variability and uniqueness to the generation of a cryptogram
9F37,Unpredictable Number (UN),Contains a Kernel challenge (random) to be used by the Card to ensure the variability and uniqueness to the generation of a cryptogram during an EMV mode transaction.
9F37,Unpredictable Number (UN) (Reader/Terminal),Value to provide variability and uniqueness to the generation of the application cryptogram.
9F37,Unpredictable Number (UN),Value to provide variability and uniqueness to the generation of the application cryptogram.
9F37,Unpredictable Number (UN),Value to provide variability and uniqueness to the generation of the application cryptogram. Requested in CDOL1.
9F37,Unpredictable Number (UN),
9F38,Processing Options Data Object List (PDOL),Contains a list of terminal resident data objects (tags and lengths) needed by the ICC in processing the GET PROCESSING OPTIONS command
9F38,Processing Options Data Object List (PDOL),List of terminal/reader-related data objects (tags and lengths) requested by the card to be transmitted in the GET PROCESSING OPTIONS command.
9F38,Processing Options Data Object List (PDOL),List of terminal/reader-related data objects (tags and lengths) requested by the card to be transmitted in the GET PROCESSING OPTIONS command.
9F38,Processing Options Data Object List (PDOL),List of terminal/reader-related data objects (tags and lengths) requested by the card to be transmitted in the GET PROCESSING OPTIONS command.
9F38,Processing Options Data Object List (PDOL),
9F39,Point-of-Service (POS) Entry Mode,"Indicates the method by which the PAN was entered, according to the first two digits of the ISO 8583:1987 POS Entry Mode"
9F3A,"Amount, Reference Currency (Binary)",Authorised amount expressed in the reference currency
9F3B,"Currency Code, Application Reference",1-4 currency codes used between the terminal and the ICC when the Transaction Currency Code is different from the Application Currency Code; each code is 3 digits according to ISO 4217
9F3C,"Currency Code, Transaction Reference",Code defining the common currency used by the terminal in case the Transaction Currency Code is different from the Application Currency Code
9F3D,"Currency Exponent, Transaction Reference","Indicates the implied position of the decimal point from the right of the transaction amount, with the Transaction Reference Currency Code represented according to ISO 4217"
9F40,Additional Terminal Capabilities (ATC),Indicates the data input and output capabilities of the Terminal and Reader. The Additional Terminal Capabilities is coded according to Annex A.3 of [EMV Book 4].
9F40,Additional Terminal Capabilities (ATC),Indicates the data input and output capabilities of the Terminal.
9F40,Additional Terminal Capabilities (ATC),
9F41,Transaction Sequence Counter,Counter maintained by the terminal that is incremented by one for each transaction
9F42,"Currency Code, Application",Indicates the currency in which the account is managed according to ISO 4217
9F42,"Currency Code, Application",Indicates the currency in which the account is managed according to ISO 4217
9F42,"Currency Code, Application",Indicates the currency in which the account is managed according to ISO 4217
9F42,"Currency Code, Application",
9F43,"Currency Exponent, Application Reference","Indicates the implied position of the decimal point from the right of the amount, for each of the 1-4 reference currencies represented according to ISO 4217"
9F44,"Currency Exponent, Application",Indicates the implied position of the decimal point from the right of the amount represented according to ISO 4217
9F44,"Currency Exponent, Application",
9F45,Data Authentication Code,An issuer assigned value that is retained by the terminal during the verification process of the Signed Static Application Data
9F46,Integrated Circuit Card (ICC) Public Key Certificate,ICC Public Key certified by the issuer
9F46,Integrated Circuit Card (ICC) Public Key Certificate,ICC Public Key certified by the issuer
9F46,Application Public Key Certificate,Application Public Key Certificate used during CDA.
9F46,Integrated Circuit Card (ICC) Public Key Certificate,ICC Public Key certified by the issuer
9F46,Integrated Circuit Card (ICC) Public Key Certificate,
9F47,Integrated Circuit Card (ICC) Public Key Exponent,Exponent ICC Public Key Exponent used for the verification of the Signed Dynamic Application Data
9F47,Integrated Circuit Card (ICC) Public Key Exponent,Exponent ICC Public Key Exponent used for the verification of the Signed Dynamic Application Data
9F47,Application Public Key Exponent,Exponent of Application Public Key
9F47,Integrated Circuit Card (ICC) Public Key Exponent,Exponent ICC Public Key Exponent used for the verification of the Signed Dynamic Application Data
9F47,Integrated Circuit Card (ICC) Public Key Exponent,
9F48,Integrated Circuit Card (ICC) Public Key Remainder,Remaining digits of the ICC Public Key Modulus
9F48,Integrated Circuit Card (ICC) Public Key Remainder,Digits of the ICC Public Key Modulus which do not fit within the ICC Public Key Certificate.
9F48,Application Public Key Remainder,Remaining digits of Application Public Key.
9F48,Integrated Circuit Card (ICC) Public Key Remainder,Digits of the ICC Public Key Modulus which do not fit within the ICC Public Key Certificate.
9F48,Integrated Circuit Card (ICC) Public Key Remainder,
9F49,Dynamic Data Authentication Data Object List (DDOL),List of data objects (tag and length) to be passed to the ICC in the INTERNAL AUTHENTICATE command
9F4A,Static Data Authentication Tag List (SDA),List of tags of primitive data objects defined in this specification whose value fields are to be included in the Signed Static or Dynamic Application Data
9F4A,Static Data Authentication Tag List (SDA),Contains list of tags of primitive data objects whose value fields are to be included in the ICC Public Key Certificate hash result.
9F4A,Static Data Authentication Tag List (SDA),List of tags of primitive data objects defined in this specification whose value fields are to be included in the Signed Static or Dynamic Application Data
9F4A,Static Data Authentication Tag List (SDA),List of tags of primitive data objects defined in this specification whose value fields are to be included in the Signed Static or Dynamic Application Data
9F4A,Static Data Authentication Tag List (SDA),
9F4B,Signed Dynamic Application Data (SDAD),Digital signature on critical application parameters for CDA
9F4B,Signed Dynamic Application Data (SDAD),Dynamic signature generated by the card and validated by the reader during fDDA processing.
9F4B,Signed Dynamic Application Data (SDAD),Digital signature on critical application parameters for DDA or CDA
9F4B,Signed Dynamic Application Data (SDAD),
9F4C,ICC Dynamic Number,"Time-variant number generated by the ICC, to be captured by the terminal"
9F4C,ICC Dynamic Number,
9F4D,Log Entry,Provides the SFI of the Transaction Log file and its number of records
9F4D,Log Entry,Data element indicating the location (SFI) and the maximum number of transaction log records.
9F4D,Log Entry,
9F4E,Merchant Name and Location,Indicates the name and location of the merchant
9F4E,Merchant Name and Location,Indicates the name and location of the merchant. The reader shall return the value of the Merchant Name and Location when requested by the card in a Data Object List.
9F4E,Merchant Name and Location,Indicates the name and location of the merchant
9F4E,Merchant Name and Location,
9F4F,Log Format,List (in tag and length format) of data objects representing the logged data elements that are passed to the terminal when a transaction log record is read
9F4F,Log Format,
9F50,Offline Accumulator Balance,"Represents the amount of offline spending available in the Card. The Offline Accumulator Balance is retrievable by the GET DATA command, if allowed by the Card configuration."
9F50,Cardholder Verification Status,Indicates the CVM choice (already done or to be subsequently applied) for the transaction. Choice is made dynamically by card based on transaction context and card risk management configuration.
9F51,Application Currency Code,
9F51,DRDOL,A data object in the Card that provides the Kernel with a list of data objects that must be passed to the Card in the data field of the RECOVER AC command.
9F52,Application Default Action (ADA),
9F52,Terminal Compatibility Indicator,"Indicates to the card the transaction modes (EMV, Magstripe) supported by the Kernel"
9F53,Consecutive Transaction Counter International Limit (CTCIL),
9F53,Transaction Category Code,"This is a data object defined by MasterCard which indicates the type of transaction being performed, and which may be used in card risk management."
9F53,Terminal Interchange Profile (dynamic),"Defines the reader CVM requirement and capabilities, as well as other reader capabilities (online capability, contact EMV capability) for the Transaction"
9F54,Cumulative Total Transaction Amount Limit (CTTAL),
9F54,DS ODS Card,Contains the Card stored operator proprietary data obtained in the response to the GET PROCESSING OPTIONS command.
9F55,Geographic Indicator,
9F55,Issuer Authentication Flags,
9F55,Issuer Authentication Flags,
9F55,Issuer Authentication Flags,
9F56,Issuer Authentication Indicator,
9F56,Issuer Proprietary Bitmap,
9F56,Issuer Proprietary Bitmap,
9F56,Issuer Proprietary Bitmap,
9F57,Issuer Country Code,
9F58,Consecutive Transaction Counter Limit (CTCL),
9F59,Consecutive Transaction Counter Upper Limit (CTCUL),
9F5A,Application Program Identifier (Program ID),"Payment system proprietary data element identifying the Application Program ID of the card application. When personalised, the Application Program ID is returned in the FCI Issuer Discretionary Data of the SELECT response (Tag ‘BF0C'). EMV mode readers that support Dynamic Reader Limits (DRL) functionality examine the Application Program ID to determine the Reader Limit Set to apply."
9F5A,Application Program Identifier (Program ID),"Proprietary data element used by the device during Dynamic Reader Limit processing to determine the Reader Limit Set to apply for the transaction. EMV mode readers that support Dynamic Reader Limits (DRL) functionality support four or more Application Program Identifiers, each corresponding to a Reader Limit Set."
9F5B,Issuer Script Results,"Indicates the results of Issuer Script processing. When the reader/terminal transmits this data element to the acquirer, in this version of Kernel 3, it is acceptable that only byte 1 is transmitted, although it is preferable for all five bytes to be transmitted."
9F5B,DSDOL,"A data object in the Card that provides the Kernel with a list of data objects that must be passed to the Card in the data field of the GENERATE AC command after the CDOL1 Related Data. An example of value for DSDOL is 'DF6008DF6108DF6201DF63A0', representing TLDS Input (Card) TLDS Digest H TLDS ODS Info TLDS ODS Term. The Kernel must not presume that this is a given though, as the sequence and presence of data objects can vary. The presence of TL DS ODS Info is mandated and the processing of the last TL entry in DSDOL is different from normal TL processing as described in section 4.1.4."
9F5C,Cumulative Total Transaction Amount Upper Limit (CTTAUL),Visa proprietary data element specifying the maximum total amount of offline transactions in the designated currency or designated and secondary currency allowed for the card application before a transaction is declined after an online transaction is unable to be performed.
9F5C,DS Requested Operator ID,Contains the Terminal determined operator identifier for data storage. It is sent to the Card in the GET PROCESSING OPTIONS command.
9F5C,Magstripe Data Object List (MDOL),List of data objects (tag and length) to be passed to the card in the GET MAGSTRIPE DATA command.
9F5D,Available Offline Spending Amount (AOSA),Kernel 3 proprietary data element indicating the remaining amount available to be spent offline. The AOSA is a calculated field used to allow the reader to print or display the amount of offline spend that is available on the card.
9F5D,Application Capabilities Information (ACI),Lists a number of card features beyond regular payment.
9F5E,Consecutive Transaction International Upper Limit (CTIUL),
9F5E,DS ID,"Data Storage Identifier constructed as follows: Application PAN (without any 'F' padding) Application PAN Sequence Number If necessary, it is padded to the left with one hexadecimal zero to ensure whole bytes. If necessary, it is padded to the left with hexadecimal zeroes to ensure a minimum length of 8 bytes."
9F5F,DS Slot Availability,"Contains the Card indication, obtained in the response to the GET PROCESSING OPTIONS command, about the slot type(s) available for data storage."
9F5F,Offline Balance,"In the case of a prepaid card, represents the value stored in card. May be returned in the GENERATE AC response."
9F60,CVC3 (Track1),The CVC3 (Track1) is a 2-byte cryptogram returned by the Card in the response to the COMPUTE CRYPTOGRAPHIC CHECKSUM command.
9F60,Issuer Update Parameter,Parameter from the ICC to indicate the behaviour/ergonomics (e.g. “present-and-hold” or “two presentments” or none) for processing the results of the online authorisation request.
9F60,P3 Generated 3DES KEYS,
9F61,CVC3 (Track2),The CVC3 (Track2) is a 2-byte cryptogram returned by the Card in the response to the COMPUTE CRYPTOGRAPHIC CHECKSUM command.
9F62,PCVC3 (Track1),PCVC3(Track1) indicates to the Kernel the positions in the discretionary data field of the Track 1 Data where the CVC3 (Track1) digits must be copied.
9F62,Encrypted PIN - ISO 95641 Format 0 (Thales P3 Format 01),
9F63,Offline Counter Initial Value,
9F63,PUNATC (Track1),PUNATC(Track1) indicates to the Kernel the positions in the discretionary data field of Track 1 Data where the Unpredictable Number (Numeric) digits and Application Transaction Counter digits have to be copied.
9F64,NATC (Track1),The value of NATC(Track1) represents the number of digits of the Application Transaction Counter to be included in the discretionary data field of Track 1 Data.
9F65,PCVC3 (Track2),PCVC3(Track2) indicates to the Kernel the positions in the discretionary data field of the Track 2 Data where the CVC3 (Track2) digits must be copied.
9F66,Terminal Transaction Qualifiers (TTQ),"Indicates reader capabilities, requirements, and preferences to the card. TTQ byte 2 bits 8-7 are transient values, and reset to zero at the beginning of the transaction. All other TTQ bits are static values, and not modified based on transaction conditions. TTQ byte 3 bit 7 shall be set by the acquirer-merchant to 1b."
9F66,PUNATC (Track2),PUNATC(Track2) indicates to the Kernel the positions in the discretionary data field of Track 2 Data where the Unpredictable Number (Numeric) digits and Application Transaction Counter digits have to be copied.
9F67,MSD Offset,
9F67,NATC (Track2),The value of NATC(Track2) represents the number of digits of the Application Transaction Counter to be included in the discretionary data field of Track 2 Data.
9F68,Card Additional Processes,
9F69,Card Authentication Related Data,"Contains the fDDA Version Number, Card Unpredictable Number, and Card Transaction Qualifiers. For transactions where fDDA is performed, the Card Authentication Related Data is returned in the last record specified by the Application File Locator for that transaction."
9F69,UDOL,"The UDOL is the DOL that specifies the data objects to be included in the data field of the COMPUTE CRYPTOGRAPHIC CHECKSUM command. The UDOL must at least include the Unpredictable Number (Numeric). The UDOL is not mandatory for the Card. If it is not present in the Card, then the Default UDOL is used."
9F6A,Unpredictable Number (Numeric),Unpredictable number generated by the Kernel during a mag-stripe mode transaction. The Unpredictable Number (Numeric) is passed to the Card in the data field of the COMPUTE CRYPTOGRAPHIC CHECKSUM command.
,,The 8-nUN most significant digits must be set to zero.
9F6B,Card CVM Limit,
9F6B,Track 2 Data,"Track 2 Data contains the data objects of the track 2 according to [ISO/IEC 7813], excluding start sentinel, end sentinel and LRC. The Track 2 Data is present in the file read using the READ RECORD command during a mag-stripe mode transaction."
9F6C,Card Transaction Qualifiers (CTQ),"In this version of the specification, used to indicate to the device the card CVM requirements, issuer preferences, and card capabilities."
9F6D,VLP Reset Threshold,
9F6D,Mag-stripe Application Version Number (Reader),Version number assigned by the payment system for the specific mag-stripe mode functionality of the Kernel.
9F6D,Kernel 4 Reader Capabilities,"A proprietary data element with bits 8, 7, and 4 only used to indicate a terminal's capability to support Kernel 4 mag-stripe or EMV contactless. This data element is OR'd with Terminal Type, Tag '9F35', resulting in a modified Tag '9F35', which is passed to the card when requested."
9F6E,Third Party Data,"The Third Party Data contains various information, possibly including information from a third party. If present in the Card, the Third Party Data must be returned in a file read using the READ RECORD command or in the File Control Information Template. 'Device Type' is present when the most significant bit of byte 1 of 'Unique Identifier' is set to 0b. In this case, the maximum length of 'Proprietary Data' is 26 bytes. Otherwise it is 28 bytes."
9F6E,Form Factor Indicator (qVSDC),Indicates the form factor of the consumer payment device and the type of contactless interface over which the transaction was conducted. This information is made available to the issuer host.
9F6E,Form Factor Indicator (FFI),Indicates the form factor of the consumer payment device and the type of contactless interface over which the transaction was conducted. This information is made available to the issuer host.
9F6F,DS Slot Management Control,"Contains the Card indication, obtained in the response to the GET PROCESSING OPTIONS command, about the status of the slot containing data associated to the DS Requested Operator ID."
9F70,Protected Data Envelope 1,"The Protected Data Envelopes contain proprietary information from the issuer, payment system or third party. The Protected Data Envelope can be retrieved with the GET DATA command. Updating the Protected Data Envelope with the PUT DATA command requires secure messaging and is outside the scope of this specification."
9F70,Card Interface Capabilities,Data element indicating other interfaces supported by the device.
9F71,Protected Data Envelope 2,Same as Protected Data Envelope 1.
9F71,Mobile CVM Results,"Proprietary data element returned from the Card in the GET PROCESSING OPTIONS response, indicating the status of Mobile CVM entry."
9F72,Protected Data Envelope 3,Same as Protected Data Envelope 1.
9F72,Consecutive Transaction Limit (International—Country),Visa proprietary data element specifying the maximum number of the consecutive offline international (those not in the country of issue) transactions allowed for that card application before a transaction goes online.
9F73,Protected Data Envelope 4,Same as Protected Data Envelope 1.
9F73,Currency Conversion Parameters,A decimal value used in a conversion algorithm to convert the Secondary Application Currency Code to the card's domestic (Application Currency Code). Issuer Script may be used to modify this data element.
9F74,Protected Data Envelope 5,Same as Protected Data Envelope 1.
9F74,VLP Issuer Authorisation Code,A Visa proprietary data element containing a code indicating that the transaction was an approved VLP transaction. If present indicates offline approval from card.
9F75,Unprotected Data Envelope 1,"The Unprotected Data Envelopes contain proprietary information from the issuer, payment system or third party. Unprotected Data Envelopes can be retrieved with the GET DATA command and can be updated with the PUT DATA (CLA='80') command without secure messaging."
9F75,Cumulative Total Transaction Amount Limit-Dual Currency,Visa proprietary data element specifying the upper limit of the total amount of offline domestic transactions in the designated currency (Application Currency Code) and a secondary currency (Secondary Application Currency Code) allowed for that card application before a transaction is forced to go online. This limit is in the designated currency.
9F76,Unprotected Data Envelope 2,Same as Unprotected Data Envelope 1.
9F76,Secondary Application Currency Code,Indicates a secondary currency to be converted to the designated currency in which the account is managed (Application Currency Code) according to ISO 4217.
9F77,Unprotected Data Envelope 3,Same as Unprotected Data Envelope 1.
9F77,VLP Funds Limit,"A Visa proprietary data element, Issuer Limit for VLP available funds, is used to reset VLP Available Funds after an online approved transaction."
9F78,Unprotected Data Envelope 4,Same as Unprotected Data Envelope 1.
9F78,VLP Single Transaction Limit,A Visa proprietary data element indicating the maximum amount allowed for single VLP transaction
9F79,Unprotected Data Envelope 5,Same as Unprotected Data Envelope 1.
9F79,VLP Available Funds,A counter that is decremented by the Amount Authorized when a VLP transaction is approved.
9F7A,VLP Terminal Support Indicator,If present indicates offline and/or online support. If absent indicates online only support
9F7B,VLP Terminal Transaction Limit,
9F7C,Customer Exclusive Data (CED),Contains data for transmission to the issuer.
9F7C,Merchant Custom Data,Proprietary merchant data that may be requested by the Card.
9F7D,DS Summary 1,"Contains the Card indication, obtained in the response to the GET PROCESSING OPTIONS command, about either the stored summary associated with DS ODS Card if present, or about a default zero-filled summary if DS ODS Card is not present and DS Unpredictable Number is present."
9F7D,VISA Applet Data,
9F7E,Mobile Support Indicator,The Mobile Support Indicator informs the Card that the Kernel supports extensions for mobile and requires on device cardholder verification.
9F7E,Application life cycle data (8 first bytes),
9F7F,DS Unpredictable Number,"Contains the Card challenge (random), obtained in the response to the GET PROCESSING OPTIONS command, to be used by the Terminal in the summary calculation when providing DS ODS Term."
9F7F,Card Production Life Cycle (CPLC) Data,
A5,File Control Information (FCI) Proprietary Template,Identifies the data object proprietary to this specification in the FCI template according to ISO/IEC 7816-4
A5,File Control Information (FCI) Proprietary Template,Identifies the data object proprietary to this specification in the FCI template according to ISO/IEC 7816-4
A5,File Control Information (FCI) Proprietary Template,Identifies the data object proprietary to this specification in the FCI template according to ISO/IEC 7816-4
BF0C,File Control Information (FCI) Issuer Discretionary Data,Issuer discretionary part of the File Control Information Proprietary Template.
BF0C,File Control Information (FCI) Issuer Discretionary Data,Issuer discretionary part of the File Control Information Proprietary Template.
BF0C,File Control Information (FCI) Issuer Discretionary Data,Issuer discretionary part of the File Control Information Proprietary Template.
BF0C,File Control Information (FCI) Issuer Discretionary Data,
BF50,Visa Fleet - CDO,
BF60,Integrated Data Storage Record Update Template,Part of the command data for the EXTENDED GET PROCESSING OPTIONS command. The IDS Record Update Template contains data to be updated in one or more IDS Records.
C3,Card issuer action code -decline,
C4,Card issuer action code -default,
C5,Card issuer action code online,
C6,PIN Try Limit,
C7,CDOL 1 Related Data Length,
C8,Card risk management country code,
C9,Card risk management currency code,
CA,Lower cummulative offline transaction amount,
CB,Upper cumulative offline transaction amount,
CD,Card Issuer Action Code (PayPass) - Default,
CE,Card Issuer Action Code (PayPass) - Online,
CF,Card Issuer Action Code (PayPass) - Decline,
D1,Currency conversion table,
D2,Integrated Data Storage Directory (IDSD),Directory of Integrated Data Storage records on the card.
D3,Additional check table,
D5,Application Control,
D6,Default ARPC response code,
D7,Application Control (PayPass),
D8,AIP (PayPass),
D9,AFL (PayPass),
DA,Static CVC3-TRACK1,
DB,Static CVC3-TRACK2,
DC,IVCVC3-TRACK1,
DD,IVCVC3-TRACK2,
DF01,Encrypted PIN Block in Tag 9F62 - ISO 95641 Format 0,
DF02,PEK Version Number,
DF03,PIN Try Limit,
DF04,PIN Try Counter (VSDC Application),
DF05,AIP - For VISA Contactless,
DF06,Products permitted,
DF07,Offline checks mandated,
DF08,UDKmac,
DF09,UDKenc,
DF0B,Retries Permitted Limit,
DF0C,Script Message Update,
DF0D,Fleet Issuer Action Code - Default,
DF0E,Fleet Issuer Action Code - Denial,
DF0F,Fleet Issuer Action Code - Online,
DF12,Vehicle Registration Number,
DF13,DDA Public Modulus,
DF14,Driver Name,
DF15,Driver ID,
DF16,Max Fill Volume,
DF17,DDA Public Modulus Length,
DF18,Mileage,
DF20,Issuer Proprietary Bitmap (IPB),
DF21,Internet Authentication Flag (IAF),
DF22,Encrypted PEK - RFU,
DF23,PEK Key Check Value - RFU,
DF24,MDK - Key derivation Index,
DF25,VISA DPA - MDK - Key derivation Index,
DF26,Encrypted PIN Block - ISO 9564-1 Format 1 PIN Block (Thales P3 Format 05),
DF40,qVSDC AIP,
DF41,VSDC AIP,
DF42,UDKac,
DF43,UDKmac,
DF44,UDKenc,
DF47,UDKcvc,
DF48,UDKac KCV,
DF49,UDKmac KCV,
DF4A,UDKenc KCV,
DF4B,UDKcvc KCV,
DF4B,POS Cardholder Interaction Information,The POS Cardholder Interaction Information informs the Kernel about the indicators set in the mobile phone that may influence the action flow of the merchant and cardholder.
DF51,Grand Parent AC,
DF52,Parent AC,
DF53,Grand Parent MAC,
DF54,Parent MAC,
DF55,Grand Parent ENC,
DF56,Parent ENC/Terminal Action Code - Default,
DF57,Terminal Action Code - Decline,
